gene,drug,n,rho,p,pathway,target
CDC20,Idelalisib,671,0.030121958704645926,0.43598491376729387,PI3K/MTOR signaling,PI3Kdelta
CDC20,Flavopiridol,662,0.029742428927526966,0.4448812594741661,Cell cycle,CDK
KRT6A,Ipatasertib,698,0.028822562447830113,0.44708944730219047,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
KRT5,Mitomycin-C,645,-0.02951492069531834,0.4542822008049231,DNA replication,DNA crosslinker
S100A8,AZD6738,1368,0.019970482458082625,0.4604923784191437,Genome integrity,ATR
S100A8,Niraparib,654,0.028486102696466266,0.46707823313187635,Genome integrity,"PARP1, PARP2"
S100A8,Talazoparib,1353,0.01969334479288728,0.469198422517323,Genome integrity,"PARP1, PARP2"
PITX1,AZD8055,1244,0.02018436799949767,0.4769186752855735,PI3K/MTOR signaling,"MTORC1, MTORC2"
S100A8,5-Fluorouracil,1375,0.019065462248891208,0.479947193397968,Other,Antimetabolite (DNA & RNA)
S100A9,AT-7519,658,-0.027330938098634707,0.4840037537742038,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
PITX1,Buparlisib,698,-0.026292096959270667,0.4879933536227913,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
CDC20,Pictilisib,2005,0.015368553822248835,0.49159594408156104,PI3K/MTOR signaling,PI3K (class 1)
CDC20,Temsirolimus,1342,-0.01844323550972935,0.4996346335487952,PI3K/MTOR signaling,MTOR
CDKN2A,Vinorelbine,1348,0.017827467559509938,0.5131231703334465,Mitosis,Microtubule destabiliser
PITX1,AZ20,673,0.02514017718624785,0.51499283428257,Genome integrity,ATR
S100A8,AT-7519,658,-0.02515927605373904,0.519414412757983,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
S100A8,Paclitaxel,951,-0.020769121327923228,0.522360647347275,Mitosis,Microtubule stabiliser
KRT5,AZD2014,1216,0.017951943258629272,0.5317005341879353,PI3K/MTOR signaling,"mTORC1, mTORC2"
SERPINB5,Alpelisib,704,0.023240359076203324,0.5381428510691014,PI3K/MTOR signaling,PI3Kalpha
PITX1,Mitomycin-C,645,-0.023944392957861382,0.5438378857084791,DNA replication,DNA crosslinker
S100A8,AZD2014,1216,-0.01729883992032471,0.5467376497448581,PI3K/MTOR signaling,"mTORC1, mTORC2"
S100A8,Olaparib,2032,0.013295090710469411,0.5491929251946852,Genome integrity,"PARP1, PARP2"
CDKN2A,Flavopiridol,662,0.022869007519729572,0.5569554000046116,Cell cycle,CDK
KRT5,AT-7519,658,0.022856129887165524,0.5583756222781395,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
S100A9,Buparlisib,698,0.0219562293057221,0.5625170453850595,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
CDC20,Omipalisib,673,0.022341742822543115,0.562866043194427,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
S100A9,Omipalisib,673,0.02230243908681636,0.5635533806717816,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
PITX1,AT-7519,658,0.021845509476254965,0.5759081332633835,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
CDKN2A,Niraparib,654,0.021606968216592342,0.5812419720724226,Genome integrity,"PARP1, PARP2"
S100A9,MK-2206,1347,0.014780210452215855,0.5878309962147614,PI3K/MTOR signaling,"AKT1, AKT2"
PITX1,Seliciclib,250,-0.03420187497053623,0.5904206924743834,Cell cycle,"CDK2, CDK7, CDK9"
CDC20,AZD5438,1215,-0.015406009944131408,0.591624035027015,Cell cycle,CDK2
CDC20,Capivasertib,672,-0.02057864127152947,0.594364096119897,PI3K/MTOR signaling,AKT
PITX1,AZD5438,1215,0.015183975709351583,0.5969780016548858,Cell cycle,CDK2
KRT5,Apitolisib,665,0.020505197280711,0.5976101201788928,PI3K/MTOR signaling,"mTOR, PI3K"
KRT5,Ipatasertib,698,0.019742514894055707,0.6025708873498334,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
S100A9,Ipatasertib,698,-0.019504484247038816,0.6069529438675632,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
S100A9,AZD2014,1216,0.014627299782136265,0.6103499067492679,PI3K/MTOR signaling,"mTORC1, mTORC2"
S100A8,VE-822,651,0.019918384539895577,0.6119546693649816,Genome integrity,ATR
KRT5,Omipalisib,673,0.01928303805892972,0.6175245448162884,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
CDC20,GSK1059615,663,0.01926243398688707,0.6205335516558632,PI3K/MTOR signaling,PI3K
CDKN2A,VE821,691,0.01876760372150447,0.6223716349787964,Genome integrity,ATR
KRT6A,Flavopiridol,662,0.019154851882428832,0.6227505717744704,Cell cycle,CDK
CDC20,Veliparib,1370,0.013289987643842982,0.6230857228292759,Genome integrity,"PARP1, PARP2"
KRT5,Pilaralisib,674,0.01890216536440114,0.6242318108097751,PI3K/MTOR signaling,PI3K
PITX1,MK-2206,1347,-0.013243485949991404,0.627232479105191,PI3K/MTOR signaling,"AKT1, AKT2"
KRT5,GSK1059615,663,-0.018222211629046366,0.6395319305229575,PI3K/MTOR signaling,PI3K
S100A9,Docetaxel,1893,0.010663259079227431,0.6428982254988095,Mitosis,Microtubule stabiliser
KRT5,Dactolisib,1367,0.012317316877068496,0.6491032266013312,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
S100A8,Mitomycin-C,645,0.01779704616983518,0.6518829441528959,DNA replication,DNA crosslinker
CDKN2A,Paclitaxel,951,-0.014426522852776994,0.6568059893002336,Mitosis,Microtubule stabiliser
CDC20,MK-1775,705,0.016741809379001937,0.6572102753576996,Cell cycle,"WEE1, PLK1"
S100A8,Pilaralisib,674,0.016848696954297856,0.6623748564794142,PI3K/MTOR signaling,PI3K
CDC20,Seliciclib,250,-0.026012960207363316,0.6823128827880552,Cell cycle,"CDK2, CDK7, CDK9"
PITX1,AZD2014,1216,0.011394471301272502,0.6914094682976469,PI3K/MTOR signaling,"mTORC1, mTORC2"
PITX1,Vinorelbine,1348,-0.01060747310820681,0.6971989972748618,Mitosis,Microtubule destabiliser
S100A8,Cisplatin,1931,0.00882069006551069,0.6984857063040357,DNA replication,DNA crosslinker
S100A8,Vinorelbine,1348,-0.010021018090867336,0.713178386535734,Mitosis,Microtubule destabiliser
CDKN2A,Rapamycin,921,0.01139258744537324,0.7298810993511903,PI3K/MTOR signaling,MTORC1
KRT5,Paclitaxel,951,0.010776961738444136,0.7399529986154842,Mitosis,Microtubule stabiliser
CDKN2A,Apitolisib,665,0.012658647526783065,0.744549208297594,PI3K/MTOR signaling,"mTOR, PI3K"
CDKN2A,Dinaciclib,650,0.01132307115806429,0.7732423380759348,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
CDKN2A,Voxtalisib,674,-0.010993930537105002,0.7757223978210434,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
KRT5,Vinorelbine,1348,0.007510846029572087,0.7829246956151723,Mitosis,Microtubule destabiliser
CDC20,PHA-793887,672,0.01055815668432008,0.7847019633137695,Cell cycle,"CDK2, CDK7, CDK5"
KRT6A,AZD2014,1216,0.007766656127505716,0.786730927810684,PI3K/MTOR signaling,"mTORC1, mTORC2"
CDKN2A,VE-822,651,-0.010260641118835125,0.7938604356236174,Genome integrity,ATR
S100A8,VE821,691,0.009680809434403057,0.7994774111420528,Genome integrity,ATR
CDKN2A,GSK1059615,663,0.009747833125974199,0.8021796758340282,PI3K/MTOR signaling,PI3K
KRT5,Bleomycin,1179,-0.0071218784439348445,0.8070104269392555,DNA replication,dsDNA break induction
S100A8,PHA-793887,672,0.009163041243856794,0.8125823650394224,Cell cycle,"CDK2, CDK7, CDK5"
S100A8,GSK1059615,663,0.009172356612687909,0.8136372674930908,PI3K/MTOR signaling,PI3K
CDC20,AT-7519,658,0.008858377425406253,0.8205768017895789,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
CDC20,Voxtalisib,674,-0.008275076435830232,0.8302052144028429,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
KRT6A,Docetaxel,1893,-0.00487714047756695,0.8320612009330592,Mitosis,Microtubule stabiliser
PITX1,Omipalisib,673,0.007873078368546836,0.8384560305779266,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
S100A8,Apitolisib,665,-0.007664562756372372,0.8436071115835893,PI3K/MTOR signaling,"mTOR, PI3K"
SERPINB5,Mitomycin-C,645,-0.007631331674962448,0.8466154373310661,DNA replication,DNA crosslinker
KRT6A,Bleomycin,1179,-0.0047179025216420424,0.8714431518258103,DNA replication,dsDNA break induction
KRT5,AZD5438,1215,-0.004510196371477103,0.8752052684524165,Cell cycle,CDK2
KRT5,Alpelisib,704,-0.005845570673177995,0.876958317624277,PI3K/MTOR signaling,PI3Kalpha
CDC20,Topotecan,545,-0.006373240898335341,0.8819918219798186,DNA replication,TOP1
S100A8,Rapamycin,921,0.00487708012555365,0.8824931821400355,PI3K/MTOR signaling,MTORC1
KRT5,AZD6738,1368,0.003911118750409938,0.8850844576719875,Genome integrity,ATR
CDKN2A,Seliciclib,250,-0.009116724875888755,0.8859516547659861,Cell cycle,"CDK2, CDK7, CDK9"
CDKN2A,Ipatasertib,698,-0.004767844119407631,0.8999378101825615,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
KRT5,Etoposide,651,-0.003938060152687206,0.9201174964205039,DNA replication,TOP2
CDC20,AZD2014,1216,0.0027752124839095136,0.9229839980929554,PI3K/MTOR signaling,"mTORC1, mTORC2"
CDC20,Rapamycin,921,-0.002141972925453813,0.9482406032753559,PI3K/MTOR signaling,MTORC1
CDC20,Vinorelbine,1348,-0.0014514327207872171,0.9575405918798174,Mitosis,Microtubule destabiliser
S100A9,Mitomycin-C,645,0.0019566617116054093,0.9604437752084221,DNA replication,DNA crosslinker
S100A8,Omipalisib,673,-0.0018290399970188013,0.9622253244260137,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
PITX1,PHA-793887,672,-0.0016011743461043497,0.9669531485268315,Cell cycle,"CDK2, CDK7, CDK5"
CDC20,Paclitaxel,951,0.001032108918932474,0.9746422172668994,Mitosis,Microtubule stabiliser
PITX1,Temsirolimus,1342,-0.0005327311886060608,0.9844442099204013,PI3K/MTOR signaling,MTOR
